num,board,title,writer,upload_date,view,likes
925994,,김동률 기억의습작 비하인드,익명,06/05,2193,146
925993,,대리 과제 고발,익명,06/05,3427,210
925976,,파리에서 만난 서강대 출신 외국인들,익명,06/05,3984,126
925949,,믿을 수 없이 힘들어 꿈이었으면 좋겠어,익명,06/05,3686,235
925907,,부정행위가 일어났으면 부정행위자를 잡아야되는거 아님?,익명,06/05,3825,123
925905,,리트 공부법 조언,익명,06/05,1077,39
925856,,그냥 전과목 시험 없애자~~,익명,06/05,1143,53
925849,,혹시 옛날 나혼자산다 그리운사람들 있어?,익명,06/05,1796,62
925795,,국회도 도입하는 FA제도 ㄷㄷ,익명,06/04,3513,196
926730,,서담 매스컴탔네(feat. YTN),익명,06/06,5730,128
926728,,"화학과 강영수 교수팀, 50억 규모 과기정통부 지원사업 선정",익명,06/06,1117,31
926669,,여자가 고백해서 사귄 경우 있어?,익명,06/06,1822,25
926661,,26살 후회되는거,익명,06/06,5147,128
926627,,와 오늘 2차고사 결과나왔는데 개잘봄,익명,06/06,4582,95
926610,,번호따기 시도했다던 다미인데,익명,06/06,6242,151
926595,,??? : 이 미친 치킨게임을 그만 두겠습니다,익명,06/06,3180,99
926592,,오늘 소개팅했는데 남자들 들어와봐,익명,06/06,4946,97
926586,,서담 댓글 기능 관련해서 우연히 신기한 기능 발견했어요!! ㅎㅎ,익명,06/06,2670,72
926538,,자괴감과 스트레스에 숨 막혀 죽을거 같아..,익명,06/05,1955,58
926518,,이덕화 그렇게 안봤는데 딸보고 악마라고 한다네,익명,06/05,2314,57
926494,,요식업할때 젊은 남성 소비자 잡아야하는 이유,익명,06/05,4721,205
926486,,옆동네 대학교의 선진 정책,익명,06/05,4211,95
926481,,지역인재 카르텔때문에 어제 오후내내 회사에서 울었어요,익명,06/05,1508,32
926476,,왕따 트라우마는 진짜 안 없어지네,익명,06/05,2108,103
926467,,스페인 화장실에서 생긴 일,익명,06/05,2773,113
926438,,홍대 짱이다!!,익명,06/05,2957,119
926419,,하트시그널 출연자 이번엔 폭행 논란,익명,06/05,3883,75
926413,,연세대가 학생들에게 보낸 메일,익명,06/05,3671,78
926350,,"[서강학보,속보] 모든 학생단체 오프라인 활동 금지···계절학기 종강까지",모모모,06/05,1753,29
926343,,[컴공] 다시 보니 선녀같은 교수 No.1,익명,06/05,3812,97
927163,,일본 정치인 스펙.jpg,익명,06/06,4021,103
927138,,김연경이 고연봉을 포기한 이유,익명,06/06,3633,165
927121,,뭔지는 몰라도 지려버릴거같은 장면,익명,06/06,3572,102
927119,쉐복,왜 아는 척이야 진짜;;,익명,06/06,3022,63
927106,,안영미 수상 아쉽...,익명,06/06,1332,32
927084,,기자들이 김영란법 대상자 되기를 강력히 거부한 이유,익명,06/06,3152,96
927029,,펌) 삼시세끼식 개그에 적응 못한 이광수,익명,06/06,2764,103
927028,,ㅋㅋ,익명,06/06,1704,40
927009,,이번 학기는 정말 가슴이 웅장해진다...,익명,06/06,3031,96
926985,,19) 똥꼬 집착..,익명,06/06,2169,29
926948,,19) 만삭 아내둔 30대초반 남자..?ㅠㅠ 얘기좀들어줘,익명,06/06,6749,244
926947,,다리가 고민인 여다미들에게 추천,익명,06/06,1466,34
926927,,비추 먹을 각오하고 씁니다,익명,06/06,4402,189
926914,,북한이 선전포고시 송출되는 방송 영상,익명,06/06,3891,104
926896,,관상 = 과학,익명,06/06,2711,63
926877,,정규직 취업과 인턴은 다른 각도로 보길 바라요,익명,06/06,1909,33
926786,,부정행위를 잡을 수 없다면 우리도 성적기준 완화(선택적 패논패)하는 건 어떨까,익명,06/06,3012,86
926773,,발 부상 환자인가요? 아뇨..,익명,06/06,3435,82
927639,,부정행위로 ㅈㄴ크게 뉴스에 나왔던 학굔데  선택적 패논패 안하냨ㅋㅋㅋ,익명,06/07,3316,78
927582,,서울대 문사철 근황...,익명,06/07,4173,152
927569,,인생 너무 외롭다,익명,06/07,593,49
927538,,이과생 입장에서,익명,06/07,1858,65
927537,,새삼 홍대 똑똑하다,익명,06/07,1975,47
927531,,외모 트라우마 너무 심했어서 싹다 뜯어고쳤다,익명,06/07,4038,170
927526,,선택형 패논패 기원 2일차,익명,06/07,1613,128
927516,,"선택적 패논패 건의하자!(학사지원팀, 총학)",익명,06/07,592,29
927503,,오늘 번호 따일 뻔 했는데,익명,06/07,2480,76
927485,,패논패 건의 올라옴!!!!,익명,06/07,3266,108
927471,,해리포터 줄거리 한 줄 요약,익명,06/07,2255,82
927417,,코로나 발병 초기에 아시아인 기피하고 비하하던 미국과 유럽,익명,06/07,4739,244
927395,,의외로 여자들이 호감이라고 말하는 스타일,익명,06/07,4425,78
927384,,회사 복지 자랑대회.jpg,익명,06/07,4110,127
927374,,은근히 스윗한 김영철,익명,06/07,3258,65
927367,,진자 내 전여친 생각하면 할수록 싸이코패스같다..,익명,06/07,4350,110
927343,,새로운 가족이 생기는데 어떻게 해야 잘지낼까?,익명,06/07,2905,87
